"Emissor","Tipo","Prazo","Rentabilidade","Modalidade"
"Banco ABC Brasil","CDI",2019-06-28,0.86,"LCI"
"Banco ABC Brasil","CDI",2019-06-27,0.86,"LCI"
"Banco Indusval","CDI",2019-08-28,0.89,"LCI"
"Banco Pine","CDI",2019-10-07,0.9,"LCI"
"Banco ABC Brasil","CDI",2020-08-21,0.91,"LCI"
"Banco ABC Brasil","CDI",2021-02-17,0.93,"LCI"
"Banco Original","CDI",2019-08-29,0.93,"LCI"
"Banco Original","CDI",2019-08-25,0.93,"LCI"
"Banco ABC Brasil","CDI",2022-02-14,0.95,"LCI"
"Banco Original","CDI",2020-02-25,0.95,"LCI"
"Banco Tricury","CDI",2021-02-17,0.96,"LCI"
"Banco Tricury","CDI",2022-02-14,0.98,"LCI"
