"Emissor","Tipo","Prazo","Rentabilidade","Modalidade"
"Agibank","CDI",2022-02-11,1.15,"CDB"
"Avista CFI","CDI",2021-02-20,1.15,"CDB"
"Banco Fibra","CDI",2023-02-27,1.155,"CDB"
"Caruana","CDI",2023-02-27,1.155,"CDB"
"Banco Fibra","CDI",2024-02-27,1.16,"CDB"
"Agibank","CDI",2023-02-06,1.16,"CDB"
"Omni Banco","CDI",2022-02-11,1.16,"CDB"
"Caruana","CDI",2024-02-27,1.165,"CDB"
"Banco Renner","CDI",2024-02-01,1.17,"CDB"
"Avista CFI","CDI",2022-02-11,1.17,"CDB"
"Caruana","CDI",2025-02-27,1.175,"CDB"
"Senff CFI","CDI",2023-02-06,1.18,"CDB"
"Senff CFI","CDI",2024-02-01,1.19,"CDB"
"Avista CFI","CDI",2023-02-07,1.19,"CDB"
"Banco Maxima","CDI",2021-02-19,1.19,"CDB"
"Avista CFI","CDI",2024-02-01,1.2,"CDB"
"Banco Maxima","CDI",2022-02-11,1.2,"CDB"
"Banco Maxima","CDI",2023-02-06,1.21,"CDB"
"Banco Maxima","CDI",2024-02-01,1.26,"CDB"
"Banco Maxima","CDI",2025-01-27,1.27,"CDB"
"Banco Maxima","CDI",2026-01-22,1.28,"CDB"
"Banco Barigui","IPCA",2022-02-28,0.039,"CDB"
"Banco Luso Brasileiro","Pre-Fixado",2019-11-28,0.0767,"CDB"
"Caruana","Pre-Fixado",2022-02-28,0.085,"CDB"
"Banco ABC Brasil","CDI",2019-05-28,0.85,"LCI"
"Banco ABC Brasil","CDI",2019-06-27,0.86,"LCI"
"Banco ABC Brasil","CDI",2019-06-27,0.86,"LCI"
"Banco Indusval","CDI",2019-08-27,0.89,"LCI"
"Banco Pine","CDI",2019-10-06,0.9,"LCI"
"Banco ABC Brasil","CDI",2020-08-20,0.91,"LCI"
"Banco ABC Brasil","CDI",2021-02-16,0.93,"LCI"
"Banco Original","CDI",2019-08-28,0.93,"LCI"
"Banco Original","CDI",2019-08-25,0.93,"LCI"
"Banco ABC Brasil","CDI",2022-02-11,0.95,"LCI"
"Banco Original","CDI",2020-02-24,0.95,"LCI"
"Banco Tricury","CDI",2021-02-16,0.96,"LCI"
"Banco Tricury","CDI",2022-02-11,0.98,"LCI"
